[2026-02-12 14:28:50] [INFO    ] discord.client: logging in using static token
[2026-02-12 14:28:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'test?', 'primary_guild': None, 'mfa_enabled': False, 'id': '1440635833840439366', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '2603', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '910215661c26cbcd88e1183a8ea1ca36', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1440473314987610134'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['london', 'rotterdam', 'brussels', 'paris', 'frankfurt'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1440635833840439366', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-c-x36p",{"micros":151060,"calls":["id_created",{"micros":378,"calls":[]},"session_lookup_time",{"micros":1458,"calls":[]},"session_lookup_finished",{"micros":14,"calls":[]},"discord-sessions-prd-2-194",{"micros":148952,"calls":["start_session",{"micros":135165,"calls":["discord-api-rpc-58f8c6cf64-x9q24",{"micros":53077,"calls":["get_user",{"micros":5868},"get_guilds",{"micros":4195},"send_scheduled_deletion_message",{"micros":12},"guild_join_requests",{"micros":136},"authorized_ip_coro",{"micros":23},"pending_payments",{"micros":1726},"apex_experiments",{"micros":62915},"sessions_experiments",{"micros":7},"user_activities",{"micros":4},"played_application_ids",{"micros":4},"linked_users",{"micros":4},"ad_personalization_toggles_disabled",{"micros":3},"regional_feature_config",{"micros":3}]}]},"starting_guild_connect",{"micros":33,"calls":[]},"presence_started",{"micros":315,"calls":[]},"guilds_started",{"micros":69,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":13334,"calls":[]},"connect_finished",{"micros":13349,"calls":[]},"build_ready",{"micros":17,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2026-02-12 14:28:51] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-12 14:28:51] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 910215661c26cbcd88e1183a8ea1ca36).
[2026-02-12 14:28:51] [DEBUG   ] discord.client: Dispatching event connect
[2026-02-12 14:28:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'afk_channel_id': None, 'activity_instances': [], 'premium_progress_bar_enabled': False, 'stickers': [], 'system_channel_flags': 0, 'unavailable': False, 'vanity_url_code': None, 'moderator_reporting': None, 'profile': None, 'nsfw': False, 'soundboard_sounds': [], 'application_command_counts': {}, 'emojis': [], 'roles': [{'version': 1763506001136, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1440473314987610134', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1763545070554, 'unicode_emoji': None, 'tags': {'bot_id': '1440635833840439366'}, 'position': 1, 'permissions': '395137379392', 'name': 'test?', 'mentionable': False, 'managed': True, 'id': '1440637184242749464', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'default_message_notifications': 0, 'max_members': 25000000, 'premium_subscription_count': 0, 'stage_instances': [], 'application_id': None, 'discovery_splash': None, 'id': '1440473314987610134', 'verification_level': 0, 'name': "eyesbot's server", 'members': [{'user': {'username': 'test?', 'public_flags': 0, 'primary_guild': None, 'id': '1440635833840439366', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '2603', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1440637184242749464'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-19T09:37:50.583000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'explicit_content_filter': 0, 'guild_scheduled_events': [], 'lazy': True, 'nsfw_level': 0, 'owner_id': '1288620605905834026', 'banner': None, 'threads': [], 'voice_states': [], 'icon': None, 'max_video_channel_users': 25, 'public_updates_channel_id': None, 'description': None, 'mfa_level': 0, 'system_channel_id': '1440473315608363060', 'latest_onboarding_question_id': None, 'hub_type': None, 'presences': [], 'premium_tier': 0, 'region': 'deprecated', 'home_header': None, 'channels': [{'version': 1763506001149, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text channels', 'id': '1440473315608363058', 'flags': 0}, {'version': 1763506001153, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice channels', 'id': '1440473315608363059', 'flags': 0}, {'version': 1763506001160, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1440473315608363058', 'name': 'general', 'last_message_id': '1471133625171968040', 'id': '1440473315608363060', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1763506001168, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1440473315608363059', 'name': 'General', 'last_message_id': None, 'id': '1440473315608363061', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'joined_at': '2025-11-19T09:37:50.583000+00:00', 'max_stage_video_channel_users': 50, 'embedded_activities': [], 'member_count': 2, 'splash': None, 'large': False, 'version': 1763506001172, 'inventory_settings': None, 'rules_channel_id': None, 'safety_alerts_channel_id': None, 'afk_timeout': 300, 'incidents_data': None, 'preferred_locale': 'en-US', 'premium_features': None, 'owner_configured_content_level': 0, 'features': [], 'premium_progress_bar_enabled_user_updated_at': None}}
[2026-02-12 14:28:51] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-12 14:28:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '0c0225ebe7450c6ae72a31d7b2699e60', 'members': [{'user': {'username': 'eyesbot', 'public_flags': 0, 'primary_guild': None, 'id': '1288620605905834026', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '6726c8c8cf5ca85d7974a47ae105b9fb'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-18T22:46:41.081000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'test?', 'public_flags': 0, 'primary_guild': None, 'id': '1440635833840439366', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '2603', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1440637184242749464'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-19T09:37:50.583000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1440473314987610134', 'chunk_index': 0, 'chunk_count': 1}}
[2026-02-12 14:28:51] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-12 14:28:51] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1440473314987610134.
[2026-02-12 14:28:53] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-02-12 14:28:53] [DEBUG   ] discord.client: Dispatching event ready
[2026-02-12 14:29:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-02-12T14:29:14.172000+00:00', 'pinned': False, 'nonce': '1471513545001664512', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-18T22:46:41.081000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1471513484788502656', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!stockticker getTicker', 'components': [], 'channel_type': 0, 'channel_id': '1440473315608363060', 'author': {'username': 'eyesbot', 'public_flags': 0, 'primary_guild': None, 'id': '1288620605905834026', 'global_name': None, 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '6726c8c8cf5ca85d7974a47ae105b9fb'}, 'attachments': [], 'guild_id': '1440473314987610134'}}
[2026-02-12 14:29:28] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-12 14:29:28] [DEBUG   ] discord.client: Dispatching event message
[2026-02-12 14:29:28] [DEBUG   ] discord.client: Dispatching event command
[2026-02-12 14:29:28] [DEBUG   ] discord.client: Dispatching event command_completion
[2026-02-12 14:29:32] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2026-02-12 14:29:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-02-12 14:29:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 5, 'op': 0, 'd': {'user_id': '1288620605905834026', 'timestamp': 1770906571, 'member': {'user': {'username': 'eyesbot', 'public_flags': 0, 'primary_guild': None, 'id': '1288620605905834026', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '6726c8c8cf5ca85d7974a47ae105b9fb'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-18T22:46:41.081000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1440473315608363060', 'guild_id': '1440473314987610134'}}
[2026-02-12 14:29:45] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-12 14:29:45] [DEBUG   ] discord.client: Dispatching event typing
[2026-02-12 14:29:45] [DEBUG   ] discord.client: Dispatching event raw_typing
[2026-02-12 14:29:49] [DEBUG   ] discord.gateway: Received WSMessage(type=<WSMsgType.CLOSED: 257>, data=None, extra=None)
[2026-02-12 14:29:49] [DEBUG   ] discord.gateway: Websocket closed with 1006, attempting a reconnect.
[2026-02-12 14:29:49] [DEBUG   ] discord.client: Got a request to RESUME the websocket.
[2026-02-12 14:29:49] [DEBUG   ] discord.client: Dispatching event disconnect
[2026-02-12 14:29:49] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway-us-east1-c.discord.gg
[2026-02-12 14:29:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-vs85",{"micros":0.0}]']}}
[2026-02-12 14:29:49] [DEBUG   ] discord.gateway: Shard ID None has sent the RESUME payload.
[2026-02-12 14:29:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-02-12 14:29:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'RESUMED', 's': 6, 'op': 0, 'd': {'_trace': ['["gateway-prd-arm-us-east1-c-vs85",{"micros":426,"calls":["id_created",{"micros":0,"calls":[]},"session_lookup_time",{"micros":220,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"discord-sessions-prd-2-194",{"micros":25}]}]']}}
[2026-02-12 14:29:49] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-12 14:29:49] [INFO    ] discord.gateway: Shard ID None has successfully RESUMED session 910215661c26cbcd88e1183a8ea1ca36.
[2026-02-12 14:29:49] [DEBUG   ] discord.client: Dispatching event resumed
[2026-02-12 14:29:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-02-12T14:29:35.490000+00:00', 'pinned': False, 'nonce': '1471513634986262528', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-18T22:46:41.081000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1471513574202671267', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!stockticker getTickers', 'components': [], 'channel_type': 0, 'channel_id': '1440473315608363060', 'author': {'username': 'eyesbot', 'public_flags': 0, 'primary_guild': None, 'id': '1288620605905834026', 'global_name': None, 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '6726c8c8cf5ca85d7974a47ae105b9fb'}, 'attachments': [], 'guild_id': '1440473314987610134'}}
[2026-02-12 14:29:50] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-12 14:29:50] [DEBUG   ] discord.client: Dispatching event message
[2026-02-12 14:29:50] [DEBUG   ] discord.client: Dispatching event command
[2026-02-12 14:29:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 8, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-02-12T14:29:35.960000+00:00', 'pinned': False, 'nonce': '5879769717614412074', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1440637184242749464'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-19T09:37:50.583000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1471513576173998259', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': "['AAPL', 'SOFI', 'TSLA', 'NVDA']", 'components': [], 'channel_type': 0, 'channel_id': '1440473315608363060', 'author': {'username': 'test?', 'public_flags': 0, 'primary_guild': None, 'id': '1440635833840439366', 'global_name': None, 'display_name_styles': None, 'discriminator': '2603', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1440473314987610134'}}
[2026-02-12 14:29:50] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-12 14:29:50] [DEBUG   ] discord.client: Dispatching event message
[2026-02-12 14:29:50] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1440473315608363060/messages with {"content":"['AAPL', 'SOFI', 'TSLA', 'NVDA']","components":[],"nonce":"5879769717614412074","enforce_nonce":true,"tts":false} has returned 200
[2026-02-12 14:29:50] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (62df3a8bf3cb0dd93018dd80d06039f6).
[2026-02-12 14:29:50] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1440473315608363060/messages has received {'type': 0, 'content': "['AAPL', 'SOFI', 'TSLA', 'NVDA']", 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2026-02-12T14:29:35.960000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1471513576173998259', 'channel_id': '1440473315608363060', 'author': {'id': '1440635833840439366', 'username': 'test?', 'avatar': None, 'discriminator': '2603', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '5879769717614412074'}
[2026-02-12 14:29:50] [DEBUG   ] discord.client: Dispatching event command_completion
[2026-02-12 14:30:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 9, 'op': 0, 'd': {'user_id': '1288620605905834026', 'timestamp': 1770906598, 'member': {'user': {'username': 'eyesbot', 'public_flags': 0, 'primary_guild': None, 'id': '1288620605905834026', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '6726c8c8cf5ca85d7974a47ae105b9fb'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-18T22:46:41.081000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1440473315608363060', 'guild_id': '1440473314987610134'}}
[2026-02-12 14:30:13] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-12 14:30:13] [DEBUG   ] discord.client: Dispatching event typing
[2026-02-12 14:30:13] [DEBUG   ] discord.client: Dispatching event raw_typing
[2026-02-12 14:30:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 10, 'op': 0, 'd': {'user_id': '1288620605905834026', 'timestamp': 1770906615, 'member': {'user': {'username': 'eyesbot', 'public_flags': 0, 'primary_guild': None, 'id': '1288620605905834026', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '6726c8c8cf5ca85d7974a47ae105b9fb'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-18T22:46:41.081000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1440473315608363060', 'guild_id': '1440473314987610134'}}
[2026-02-12 14:30:30] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-12 14:30:30] [DEBUG   ] discord.client: Dispatching event typing
[2026-02-12 14:30:30] [DEBUG   ] discord.client: Dispatching event raw_typing
[2026-02-12 14:30:30] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 10.
[2026-02-12 14:30:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-02-12 14:30:36] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 11, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-02-12T14:30:22.257000+00:00', 'pinned': False, 'nonce': '1471513830860259328', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-18T22:46:41.081000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1471513770357559468', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!stockticker addTicker AMD', 'components': [], 'channel_type': 0, 'channel_id': '1440473315608363060', 'author': {'username': 'eyesbot', 'public_flags': 0, 'primary_guild': None, 'id': '1288620605905834026', 'global_name': None, 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '6726c8c8cf5ca85d7974a47ae105b9fb'}, 'attachments': [], 'guild_id': '1440473314987610134'}}
[2026-02-12 14:30:36] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-12 14:30:36] [DEBUG   ] discord.client: Dispatching event message
[2026-02-12 14:30:36] [DEBUG   ] discord.client: Dispatching event command
[2026-02-12 14:30:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 12, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-02-12T14:30:22.570000+00:00', 'pinned': False, 'nonce': '14109013382552182964', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1440637184242749464'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-19T09:37:50.583000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1471513771670372394', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Adding tickers: AMD', 'components': [], 'channel_type': 0, 'channel_id': '1440473315608363060', 'author': {'username': 'test?', 'public_flags': 0, 'primary_guild': None, 'id': '1440635833840439366', 'global_name': None, 'display_name_styles': None, 'discriminator': '2603', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1440473314987610134'}}
[2026-02-12 14:30:37] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-12 14:30:37] [DEBUG   ] discord.client: Dispatching event message
[2026-02-12 14:30:37] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1440473315608363060/messages with {"content":"Adding tickers: AMD\n","components":[],"nonce":"14109013382552182964","enforce_nonce":true,"tts":false} has returned 200
[2026-02-12 14:30:37] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1440473315608363060/messages has received {'type': 0, 'content': 'Adding tickers: AMD', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2026-02-12T14:30:22.570000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1471513771670372394', 'channel_id': '1440473315608363060', 'author': {'id': '1440635833840439366', 'username': 'test?', 'avatar': None, 'discriminator': '2603', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '14109013382552182964'}
[2026-02-12 14:30:37] [DEBUG   ] discord.client: Dispatching event command_completion
[2026-02-12 14:30:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 13, 'op': 0, 'd': {'user_id': '1288620605905834026', 'timestamp': 1770906627, 'member': {'user': {'username': 'eyesbot', 'public_flags': 0, 'primary_guild': None, 'id': '1288620605905834026', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '6726c8c8cf5ca85d7974a47ae105b9fb'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-18T22:46:41.081000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1440473315608363060', 'guild_id': '1440473314987610134'}}
[2026-02-12 14:30:41] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-12 14:30:41] [DEBUG   ] discord.client: Dispatching event typing
[2026-02-12 14:30:41] [DEBUG   ] discord.client: Dispatching event raw_typing
[2026-02-12 14:30:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 14, 'op': 0, 'd': {'user_id': '1288620605905834026', 'timestamp': 1770906635, 'member': {'user': {'username': 'eyesbot', 'public_flags': 0, 'primary_guild': None, 'id': '1288620605905834026', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '6726c8c8cf5ca85d7974a47ae105b9fb'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-18T22:46:41.081000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1440473315608363060', 'guild_id': '1440473314987610134'}}
[2026-02-12 14:30:49] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-12 14:30:49] [DEBUG   ] discord.client: Dispatching event typing
